product_id,fetched_on,buy_price,buy_volume,sell_price,sell_volume
BROWN_MUSHROOM,2021/06/01 13:33:54.387000,19.978452031515527,1045078,11.707633347906874,1491790
INK_SACK:3,2021/06/01 13:33:54.387000,4.199860735779299,1134942,2.441140148264203,6227857
INK_SACK:4,2021/06/01 13:33:54.387000,5.318343183634957,5275394,3.409609424248791,5733993
SPOOKY_SHARD,2021/06/01 13:33:54.387000,859.70871751886,498788,329.65075439852706,1671438
TARANTULA_WEB,2021/06/01 13:33:54.387000,0.49596138904753806,66939368,0.30000000000000004,965460
CARROT_ITEM,2021/06/01 13:33:54.387000,1.9,21787857,1.3,1995464
ENCHANTED_POTATO,2021/06/01 13:33:54.387000,380.744426554372,371197,307.654957457714,8660028
EXP_BOTTLE,2021/06/01 13:33:54.387000,38.844163604718624,1063821,31.5,591263
JERRY_BOX_GREEN,2021/06/01 13:33:54.387000,109193.88537757438,387685,20373.5621623162,1569093
ENCHANTED_SLIME_BALL,2021/06/01 13:33:54.387000,2087.405328815648,174035,602.5430688243323,245083
ENCHANTED_RED_MUSHROOM,2021/06/01 13:33:54.387000,3746.864174085064,156176,3080.625468532614,583137
ENCHANTED_GOLDEN_CARROT,2021/06/01 13:33:54.387000,44572.010003611416,136334,39786.63092697961,359954
ENCHANTED_RABBIT_HIDE,2021/06/01 13:33:54.387000,22446.45,5509,17942.157412620218,408809
ENCHANTED_BIRCH_LOG,2021/06/01 13:33:54.387000,623.7739466254728,862184,510.99508031114254,1388643
ENCHANTED_GUNPOWDER,2021/06/01 13:33:54.387000,1312.9602039531662,740839,1131.5778575851393,394450
ENCHANTED_MELON,2021/06/01 13:33:54.387000,172.97369077306735,1583397,155.10000000000002,1458696
ENCHANTED_SUGAR,2021/06/01 13:33:54.387000,330.1560299018283,510339,283.3,1359851
CACTUS,2021/06/01 13:33:54.387000,0.999906069668939,48383431,0.505701470979512,4156589
ENCHANTED_BLAZE_ROD,2021/06/01 13:33:54.387000,255242.83248945145,9361,161994.13978750395,302897
ENCHANTED_CAKE,2021/06/01 13:33:54.387000,6249.8,933,312.56494274237065,1013780
PUMPKIN,2021/06/01 13:33:54.387000,4.627622564549343,3337904,3.6,2968719
ENCHANTED_BROWN_MUSHROOM,2021/06/01 13:33:54.387000,1664.446182068333,181216,1390.2,63498
WHEAT,2021/06/01 13:33:54.387000,4.338600583090379,156001,3.792159730775998,7215189
NURSE_SHARK_TOOTH,2021/06/01 13:33:54.387000,389.43953729281765,114125,190.30001287295823,2149952
ENCHANTED_RAW_SALMON,2021/06/01 13:33:54.387000,1598.418038277512,99803,1568.6735794592212,7458524
ENCHANTED_GLISTERING_MELON,2021/06/01 13:33:54.387000,7144.26108058608,22017,5001.022615131579,165971
PRISMARINE_SHARD,2021/06/01 13:33:54.387000,6.948509863348753,760889,3.9505321259785697,5283012
ENCHANTED_EMERALD,2021/06/01 13:33:54.387000,1061.675945892962,734871,835.7325191410632,1549030
PROTECTOR_FRAGMENT,2021/06/01 13:33:54.387000,2639.9982526496706,131453,2216.3999196845793,679697
ENCHANTED_SPIDER_EYE,2021/06/01 13:33:54.387000,1058.4555208037154,506578,952.6591072226465,11856684
RED_MUSHROOM,2021/06/01 13:33:54.387000,19.398518415630715,381610,18.81749729079585,6695929
GRAND_EXP_BOTTLE,2021/06/01 13:33:54.387000,4400.443328929986,404911,4165.205386457907,758783
ENCHANTED_MELON_BLOCK,2021/06/01 13:33:54.387000,25617.423834886813,26122,20886.889198723336,1068594
MUTTON,2021/06/01 13:33:54.387000,37.1058950617284,550843,17.324001903925016,3873139
POWER_CRYSTAL,2021/06/01 13:33:54.387000,168193.08214285714,2320,149041.1501970055,57889
RAW_SOULFLOW,2021/06/01 13:33:54.387000,25097.208196721305,5137,19117.015689340627,158778
DIAMOND,2021/06/01 13:33:54.387000,7.995034574689661,2393414,7.424905488582147,11072765
SHARK_FIN,2021/06/01 13:33:54.387000,79.26540478075714,1303655,44.57063400680064,4491578
WISE_FRAGMENT,2021/06/01 13:33:54.387000,16814.484968354438,30587,15052.1,194501
COBBLESTONE,2021/06/01 13:33:54.387000,7.388380966133135,6482291,6.1723170228242275,9640570
REFINED_MITHRIL,2021/06/01 13:33:54.387000,314997.0,4831,57442.56098124098,149870
RAW_FISH,2021/06/01 13:33:54.387000,23.595918742377922,2787974,22.300481455212985,11443555
SPIDER_EYE,2021/06/01 13:33:54.387000,7.0,664493,5.8,14540529
ENCHANTED_PUFFERFISH,2021/06/01 13:33:54.387000,2416.6714558342424,141531,2374.815461109965,462231
POTATO_ITEM,2021/06/01 13:33:54.387000,2.4,3970370,1.459291604562851,5876006
ENCHANTED_NETHERRACK,2021/06/01 13:33:54.387000,175.20654827968923,30240,160.2,12180
ENCHANTED_HUGE_MUSHROOM_1,2021/06/01 13:33:54.387000,13480.493506493507,9561,2548.35622406639,94105
REFINED_DIAMOND,2021/06/01 13:33:54.387000,439991.3171428571,1645,39366.42986209467,2754402
TIGHTLY_TIED_HAY_BALE,2021/06/01 13:33:54.387000,471199.594117647,414,3627.1081408628584,667429
ENCHANTED_COBBLESTONE,2021/06/01 13:33:54.387000,1090.821298098262,1431458,1074.9434256644922,2756207
ENCHANTED_HUGE_MUSHROOM_2,2021/06/01 13:33:54.387000,25446.5,1726,16358.372393472348,42069
PORK,2021/06/01 13:33:54.387000,14.792325754405542,2157145,9.216801868627883,886945
PRISMARINE_CRYSTALS,2021/06/01 13:33:54.387000,4.252099072466488,5426171,3.6,445387
ICE,2021/06/01 13:33:54.387000,5.249704386163238,8460108,3.197680197825874,3097207
TIGER_SHARK_TOOTH,2021/06/01 13:33:54.387000,25124.351893171064,145209,20006.106529625147,4666
HUGE_MUSHROOM_1,2021/06/01 13:33:54.387000,4.953344322026546,933452,2.4,765032
ICE_BAIT,2021/06/01 13:33:54.387000,42.128778759636866,1977484,31.091400840090426,6188806
HUGE_MUSHROOM_2,2021/06/01 13:33:54.387000,37.25670219435736,391515,26.10470942008276,4726035
LOG_2:1,2021/06/01 13:33:54.387000,2.798803908355795,2028632,1.7000000000000002,1540190
ENCHANTED_SNOW_BLOCK,2021/06/01 13:33:54.387000,599.9353938937052,1978886,591.7155855580672,3564353
STRING,2021/06/01 13:33:54.387000,14.15893563349337,613985,10.864523394600994,8433153
GOLDEN_TOOTH,2021/06/01 13:33:54.387000,74909.6,6963,56697.40040659106,219995
HYPER_CATALYST,2021/06/01 13:33:54.387000,99978.49992555831,164845,19965.173456458073,690098
RABBIT_FOOT,2021/06/01 13:33:54.387000,11.967100280933186,731014,11.029863729077215,4816700
REDSTONE,2021/06/01 13:33:54.387000,2.810979842160312,5529106,1.715757346925933,8460892
JERRY_BOX_GOLDEN,2021/06/01 13:33:54.387000,1038262.1216696274,55292,777475.8627556512,46017
PUMPKIN_GUTS,2021/06/01 13:33:54.387000,86998.11916932907,34514,1201.292925403339,131606
ENCHANTED_CACTUS_GREEN,2021/06/01 13:33:54.387000,434.4942036553525,1325355,355.99841557065935,1118475
BOOSTER_COOKIE,2021/06/01 13:33:54.387000,2092284.8437132784,41328,1955493.7251231524,19963
ENCHANTED_CARROT_ON_A_STICK,2021/06/01 13:33:54.387000,0.0,0,0.0,0
ENCHANTED_LAPIS_LAZULI_BLOCK,2021/06/01 13:33:54.387000,55996.92247557003,59938,35000.333812901496,726584
ENCHANTED_COOKIE,2021/06/01 13:33:54.387000,66655.3799031477,18508,61504.61466372657,26641
ENCHANTED_ENDSTONE,2021/06/01 13:33:54.387000,519.1456840988824,1133949,362.1,500630
COLOSSAL_EXP_BOTTLE,2021/06/01 13:33:54.387000,719999.5155555556,2509,129445.41383123648,600585
ENCHANTED_SAND,2021/06/01 13:33:54.387000,516.0993068896674,1125720,318.56087855806163,990840
ENCHANTED_STRING,2021/06/01 13:33:54.387000,2588.8880513751947,358303,2235.0029136438097,3091466
STRONG_FRAGMENT,2021/06/01 13:33:54.387000,15944.089862475443,76345,11838.249188891943,173055
